## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299966.bam --metrics-file marked_dup_metrics_ERR2299966.txt --input ERR2299966.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 5:33:42 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	3591	1584895	11493	241707	1824	26163	0	0.017064	47474901

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	1387	397201	6054	801027	323	7915	0	0.020298	9833588

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.960413
3.0	2.882805
4.0	3.768682
5.0	4.61949
6.0	5.436617
7.0	6.221395
8.0	6.975106
9.0	7.69898
10.0	8.394198
11.0	9.061893
12.0	9.703157
13.0	10.319034
14.0	10.910531
15.0	11.478611
16.0	12.024203
17.0	12.548196
18.0	13.051446
19.0	13.534774
20.0	13.998967
21.0	14.444785
22.0	14.872954
23.0	15.284172
24.0	15.679112
25.0	16.058417
26.0	16.422706
27.0	16.772574
28.0	17.108592
29.0	17.431308
30.0	17.741248
31.0	18.038918
32.0	18.324805
33.0	18.599374
34.0	18.863073
35.0	19.116334
36.0	19.359568
37.0	19.593173
38.0	19.817531
39.0	20.033007
40.0	20.239953
41.0	20.438706
42.0	20.629591
43.0	20.812919
44.0	20.98899
45.0	21.158091
46.0	21.320498
47.0	21.476475
48.0	21.626278
49.0	21.77015
50.0	21.908327
51.0	22.041034
52.0	22.168487
53.0	22.290894
54.0	22.408456
55.0	22.521364
56.0	22.629802
57.0	22.733948
58.0	22.83397
59.0	22.930033
60.0	23.022293
61.0	23.110901
62.0	23.196001
63.0	23.277732
64.0	23.356227
65.0	23.431616
66.0	23.504019
67.0	23.573557
68.0	23.640341
69.0	23.704482
70.0	23.766084
71.0	23.825247
72.0	23.882068
73.0	23.936639
74.0	23.98905
75.0	24.039386
76.0	24.08773
77.0	24.13416
78.0	24.178752
79.0	24.221578
80.0	24.262709
81.0	24.302212
82.0	24.340151
83.0	24.376588
84.0	24.411583
85.0	24.445193
86.0	24.477471
87.0	24.508472
88.0	24.538246
89.0	24.566841
90.0	24.594304
91.0	24.62068
92.0	24.646012
93.0	24.670341
94.0	24.693707
95.0	24.716147
96.0	24.7377
97.0	24.758399
98.0	24.778279
99.0	24.797372
100.0	24.815709

## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299971.bam --metrics-file marked_dup_metrics_ERR2299971.txt --input ERR2299971.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 6:12:12 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	11466	1263800	30420	292052	5688	38643	0	0.032679	20242524

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.939476
3.0	2.822091
4.0	3.651287
5.0	4.430297
6.0	5.162158
7.0	5.849724
8.0	6.495676
9.0	7.102532
10.0	7.672659
11.0	8.208279
12.0	8.711482
13.0	9.184229
14.0	9.628363
15.0	10.045617
16.0	10.437617
17.0	10.805891
18.0	11.151876
19.0	11.476921
20.0	11.782293
21.0	12.069182
22.0	12.338708
23.0	12.591921
24.0	12.829808
25.0	13.053298
26.0	13.263261
27.0	13.460517
28.0	13.645833
29.0	13.819934
30.0	13.983497
31.0	14.137161
32.0	14.281525
33.0	14.417151
34.0	14.544568
35.0	14.664274
36.0	14.776734
37.0	14.882388
38.0	14.981648
39.0	15.0749
40.0	15.162508
41.0	15.244813
42.0	15.322137
43.0	15.394781
44.0	15.463029
45.0	15.527146
46.0	15.587382
47.0	15.643972
48.0	15.697138
49.0	15.747085
50.0	15.79401
51.0	15.838094
52.0	15.879511
53.0	15.91842
54.0	15.954975
55.0	15.989317
56.0	16.021581
57.0	16.051892
58.0	16.080369
59.0	16.107122
60.0	16.132255
61.0	16.155868
62.0	16.178052
63.0	16.198892
64.0	16.218472
65.0	16.236866
66.0	16.254147
67.0	16.270383
68.0	16.285635
69.0	16.299965
70.0	16.313427
71.0	16.326074
72.0	16.337956
73.0	16.349119
74.0	16.359606
75.0	16.369458
76.0	16.378715
77.0	16.38741
78.0	16.39558
79.0	16.403255
80.0	16.410466
81.0	16.41724
82.0	16.423604
83.0	16.429583
84.0	16.4352
85.0	16.440478
86.0	16.445435
87.0	16.450093
88.0	16.454469
89.0	16.45858
90.0	16.462442
91.0	16.46607
92.0	16.469479
93.0	16.472682
94.0	16.47569
95.0	16.478517
96.0	16.481172
97.0	16.483667
98.0	16.486011
99.0	16.488213
100.0	16.490281

## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299972.bam --metrics-file marked_dup_metrics_ERR2299972.txt --input ERR2299972.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 6:17:51 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	3602	761162	11606	571172	1254	13107	0	0.018001	21847001

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.965759
3.0	2.898451
4.0	3.799206
5.0	4.669119
6.0	5.509245
7.0	6.320605
8.0	7.104184
9.0	7.860932
10.0	8.591769
11.0	9.297581
12.0	9.979226
13.0	10.637531
14.0	11.273295
15.0	11.887291
16.0	12.480262
17.0	13.05293
18.0	13.60599
19.0	14.140112
20.0	14.655946
21.0	15.154117
22.0	15.635231
23.0	16.099871
24.0	16.548601
25.0	16.981967
26.0	17.400493
27.0	17.80469
28.0	18.195046
29.0	18.572036
30.0	18.936118
31.0	19.287733
32.0	19.627309
33.0	19.955258
34.0	20.271977
35.0	20.577852
36.0	20.873254
37.0	21.15854
38.0	21.434059
39.0	21.700143
40.0	21.957117
41.0	22.205291
42.0	22.444968
43.0	22.676438
44.0	22.899983
45.0	23.115873
46.0	23.324371
47.0	23.52573
48.0	23.720194
49.0	23.908
50.0	24.089375
51.0	24.26454
52.0	24.433707
53.0	24.597081
54.0	24.754862
55.0	24.90724
56.0	25.0544
57.0	25.196522
58.0	25.333777
59.0	25.466333
60.0	25.59435
61.0	25.717983
62.0	25.837383
63.0	25.952695
64.0	26.064059
65.0	26.171609
66.0	26.275477
67.0	26.375788
68.0	26.472664
69.0	26.566224
70.0	26.65658
71.0	26.743842
72.0	26.828116
73.0	26.909504
74.0	26.988106
75.0	27.064016
76.0	27.137327
77.0	27.208128
78.0	27.276505
79.0	27.34254
80.0	27.406315
81.0	27.467905
82.0	27.527387
83.0	27.584832
84.0	27.64031
85.0	27.693889
86.0	27.745632
87.0	27.795605
88.0	27.843866
89.0	27.890474
90.0	27.935487
91.0	27.978958
92.0	28.020941
93.0	28.061487
94.0	28.100644
95.0	28.13846
96.0	28.174982
97.0	28.210253
98.0	28.244316
99.0	28.277213
100.0	28.308983

## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299973.bam --metrics-file marked_dup_metrics_ERR2299973.txt --input ERR2299973.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 6:22:39 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	1683	421668	3272	37913	358	4525	0	0.011133	19506031

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.978615
